=== [DEBUG] Vertices (228 total) ===
[    0] Pos(  0.2324,  -0.7455,   1.4777)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[    1] Pos(  0.2324,  -0.7455,   2.8431)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[    2] Pos( -0.2275,  -0.7455,   2.8431)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[    3] Pos(  0.2324,  -0.7455,   1.4777)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[    4] Pos( -0.2275,  -0.7455,   1.4777)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[    5] Pos( -0.2275,  -0.7455,   2.8431)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[    6] Pos(  0.2324,   1.1200,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[    7] Pos( -0.2275,   1.1200,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[    8] Pos( -0.2275,   1.1200,   1.6028)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[    9] Pos(  0.2324,   1.1200,   1.1338)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   10] Pos(  0.2324,   1.1200,   1.6028)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   11] Pos( -0.2275,   1.1200,   1.6028)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   12] Pos( -0.2274,   1.1043,   0.4085)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   13] Pos( -0.2274,   0.5073,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   14] Pos( -0.2274,   1.1194,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   15] Pos(  0.2324,  -0.3403,   2.8431)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   16] Pos(  0.2324,   1.1200,   1.6028)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   17] Pos( -0.2275,   1.1200,   1.6028)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   18] Pos(  0.2324,  -0.3403,   2.8431)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   19] Pos( -0.2275,  -0.3403,   2.8431)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   20] Pos( -0.2275,   1.1200,   1.6028)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   21] Pos( -0.2275,  -0.2945,   2.2979)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   22] Pos( -0.2275,  -0.3052,   1.1338)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   23] Pos( -0.2275,  -0.7455,   1.4777)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   24] Pos(  0.2324,  -0.3052,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   25] Pos(  0.2324,  -1.2166,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   26] Pos( -0.2275,  -1.2166,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   27] Pos(  0.2324,  -0.3052,   1.1338)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   28] Pos( -0.2275,  -0.3052,   1.1338)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   29] Pos( -0.2275,  -1.2166,   1.1338)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   30] Pos(  0.2324,  -0.7455,   2.8431)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   31] Pos(  0.2324,  -0.3403,   2.8431)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   32] Pos( -0.2275,  -0.3403,   2.8431)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   33] Pos(  0.2324,  -0.7455,   2.8431)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   34] Pos( -0.2275,  -0.7455,   2.8431)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   35] Pos( -0.2275,  -0.3403,   2.8431)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   36] Pos(  0.2324,   1.1200,   1.1338)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   37] Pos(  0.2324,  -0.2945,   2.2979)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   38] Pos( -0.2275,  -0.2945,   2.2979)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   39] Pos(  0.2324,   1.1200,   1.1338)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   40] Pos( -0.2275,   1.1200,   1.1338)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   41] Pos( -0.2275,  -0.2945,   2.2979)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   42] Pos(  0.2324,  -0.2945,   2.2979)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   43] Pos(  0.2324,  -0.3052,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   44] Pos( -0.2275,  -0.3052,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   45] Pos(  0.2324,  -0.2945,   2.2979)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   46] Pos( -0.2275,  -0.2945,   2.2979)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   47] Pos( -0.2275,  -0.3052,   1.1338)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   48] Pos(  0.2324,  -1.2166,   1.1338)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   49] Pos(  0.2324,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   50] Pos( -0.2275,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   51] Pos(  0.2324,  -1.2166,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   52] Pos( -0.2275,  -1.2166,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   53] Pos( -0.2275,  -1.2226,   1.4972)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   54] Pos(  0.2324,  -1.2226,   1.4972)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   55] Pos(  0.2324,  -0.7455,   1.4777)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   56] Pos( -0.2275,  -0.7455,   1.4777)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   57] Pos(  0.2324,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   58] Pos( -0.2275,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   59] Pos( -0.2275,  -0.7455,   1.4777)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   60] Pos( -0.2274,  -0.0755,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   61] Pos(  0.2237,  -0.0755,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   62] Pos(  0.2237,  -0.7312,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   63] Pos( -0.2274,  -0.0755,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   64] Pos( -0.2274,  -0.7312,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   65] Pos(  0.2237,  -0.7312,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
